,major,startingMedian,midMedian,Percent change from Starting to Mid-Career Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
0,Accounting,46000.0,77100.0,67.6,"$42,200.00","$56,100.00","$108,000.00","$152,000.00"
1,Aerospace Engineering,57700.0,101000.0,75.0,"$64,300.00","$82,100.00","$127,000.00","$161,000.00"
2,Agriculture,42600.0,71900.0,68.8,"$36,300.00","$52,100.00","$96,300.00","$150,000.00"
3,Anthropology,36800.0,61500.0,67.1,"$33,800.00","$45,500.00","$89,300.00","$138,000.00"
4,Architecture,41600.0,76800.0,84.6,"$50,600.00","$62,200.00","$97,000.00","$136,000.00"
5,Art History,35800.0,64900.0,81.3,"$28,800.00","$42,200.00","$87,400.00","$125,000.00"
6,Biology,38800.0,64800.0,67.0,"$36,900.00","$47,400.00","$94,500.00","$135,000.00"
7,Business Management,43000.0,72100.0,67.7,"$38,800.00","$51,500.00","$102,000.00","$147,000.00"
8,Chemical Engineering,63200.0,107000.0,69.3,"$71,900.00","$87,300.00","$143,000.00","$194,000.00"
9,Chemistry,42600.0,79900.0,87.6,"$45,300.00","$60,700.00","$108,000.00","$148,000.00"
10,Civil Engineering,53900.0,90500.0,67.9,"$63,400.00","$75,100.00","$115,000.00","$148,000.00"
11,Communications,38100.0,70000.0,83.7,"$37,500.00","$49,700.00","$98,800.00","$143,000.00"
12,Computer Engineering,61400.0,105000.0,71.0,"$66,100.00","$84,100.00","$135,000.00","$162,000.00"
13,Computer Science,55900.0,95500.0,70.8,"$56,000.00","$74,900.00","$122,000.00","$154,000.00"
14,Construction,53700.0,88900.0,65.5,"$56,300.00","$68,100.00","$118,000.00","$171,000.00"
15,Criminal Justice,35000.0,56300.0,60.9,"$32,200.00","$41,600.00","$80,700.00","$107,000.00"
16,Drama,35900.0,56900.0,58.5,"$36,700.00","$41,300.00","$79,100.00","$153,000.00"
17,Economics,50100.0,98600.0,96.8,"$50,600.00","$70,600.00","$145,000.00","$210,000.00"
18,Education,34900.0,52000.0,49.0,"$29,300.00","$37,900.00","$73,400.00","$102,000.00"
19,Electrical Engineering,60900.0,103000.0,69.1,"$69,300.00","$83,800.00","$130,000.00","$168,000.00"
20,English,38000.0,64700.0,70.3,"$33,400.00","$44,800.00","$93,200.00","$133,000.00"
21,Film,37900.0,68500.0,80.7,"$33,900.00","$45,500.00","$100,000.00","$136,000.00"
22,Finance,47900.0,88300.0,84.3,"$47,200.00","$62,100.00","$128,000.00","$195,000.00"
23,Forestry,39100.0,62600.0,60.1,"$41,000.00","$49,300.00","$78,200.00","$111,000.00"
24,Geography,41200.0,65500.0,59.0,"$40,000.00","$50,000.00","$90,800.00","$132,000.00"
25,Geology,43500.0,79500.0,82.8,"$45,000.00","$59,600.00","$101,000.00","$156,000.00"
26,Graphic Design,35700.0,59800.0,67.5,"$36,000.00","$45,500.00","$80,800.00","$112,000.00"
27,Health Care Administration,38800.0,60600.0,56.2,"$34,600.00","$45,600.00","$78,800.00","$101,000.00"
28,History,39200.0,71000.0,81.1,"$37,000.00","$49,200.00","$103,000.00","$149,000.00"
29,Hospitality & Tourism,37800.0,57500.0,52.1,"$35,500.00","$43,600.00","$81,900.00","$124,000.00"
30,Industrial Engineering,57700.0,94700.0,64.1,"$57,100.00","$72,300.00","$132,000.00","$173,000.00"
31,Information Technology (IT),49100.0,74800.0,52.3,"$44,500.00","$56,700.00","$96,700.00","$129,000.00"
32,Interior Design,36100.0,53200.0,47.4,"$35,700.00","$42,600.00","$72,500.00","$107,000.00"
33,International Relations,40900.0,80900.0,97.8,"$38,200.00","$56,000.00","$111,000.00","$157,000.00"
34,Journalism,35600.0,66700.0,87.4,"$38,400.00","$48,300.00","$97,700.00","$145,000.00"
35,Management Information Systems (MIS),49200.0,82300.0,67.3,"$45,300.00","$60,500.00","$108,000.00","$146,000.00"
36,Marketing,40800.0,79600.0,95.1,"$42,100.00","$55,600.00","$119,000.00","$175,000.00"
37,Math,45400.0,92400.0,103.5,"$45,200.00","$64,200.00","$128,000.00","$183,000.00"
38,Mechanical Engineering,57900.0,93600.0,61.7,"$63,700.00","$76,200.00","$120,000.00","$163,000.00"
39,Music,35900.0,55000.0,53.2,"$26,700.00","$40,200.00","$88,000.00","$134,000.00"
40,Nursing,54200.0,67000.0,23.6,"$47,600.00","$56,400.00","$80,900.00","$98,300.00"
41,Nutrition,39900.0,55300.0,38.6,"$33,900.00","$44,500.00","$70,500.00","$99,200.00"
42,Philosophy,39900.0,81200.0,103.5,"$35,500.00","$52,800.00","$127,000.00","$168,000.00"
43,Physician Assistant,74300.0,91700.0,23.4,"$66,400.00","$75,200.00","$108,000.00","$124,000.00"
44,Physics,50300.0,97300.0,93.4,"$56,000.00","$74,200.00","$132,000.00","$178,000.00"
45,Political Science,40800.0,78200.0,91.7,"$41,200.00","$55,300.00","$114,000.00","$168,000.00"
46,Psychology,35900.0,60400.0,68.2,"$31,600.00","$42,100.00","$87,500.00","$127,000.00"
47,Religion,34100.0,52000.0,52.5,"$29,700.00","$36,500.00","$70,900.00","$96,400.00"
48,Sociology,36500.0,58200.0,59.5,"$30,700.00","$40,400.00","$81,200.00","$118,000.00"
49,Spanish,34000.0,53100.0,56.2,"$31,000.00","$40,000.00","$76,800.00","$96,400.00"
